Timestamp | System | Type | Color | Rate | Glass | Vantaux | Dimensions | Total Cost
2026-07-31 14:43:52 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:49:33 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:51:45 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:54:33 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:54:41 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:57:02 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:10:39 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:13:39 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:35:38 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:36:36 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:43:11 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:43:25 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:7830.0 | Vantaux: 2 | W:1.45m H:1.2m | Total: 79,330.00 DA
2026-07-31 15:43:26 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:7560.0 | Vantaux: 2 | W:1.4m H:1.2m | Total: 79,060.00 DA
2026-07-31 15:43:28 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:6480.0 | Vantaux: 2 | W:1.2m H:1.2m | Total: 77,980.00 DA
2026-07-31 15:43:31 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:43:35 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:9787.5 | Vantaux: 2 | W:1.5m H:1.45m | Total: 81,287.50 DA
2026-07-31 15:43:38 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:10125.0 | Vantaux: 2 | W:1.5m H:1.5m | Total: 81,625.00 DA
2026-07-31 15:43:44 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:9787.5 | Vantaux: 2 | W:1.5m H:1.45m | Total: 81,287.50 DA
2026-07-31 15:43:46 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:9112.500000000002 | Vantaux: 2 | W:1.5m H:1.35m | Total: 80,612.50 DA
2026-07-31 15:43:47 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:9416.250000000002 | Vantaux: 2 | W:1.55m H:1.35m | Total: 80,916.25 DA
2026-07-31 15:51:33 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:54:03 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:56:10 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:57:22 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:59:43 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 15:59:56 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:01:29 | Française (فتح عادي) | TPR | خشبي | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:01:41 | Française (فتح عادي) | TPR | خشبي | Rate:6500.0 | Glass:0.0 | Vantaux: 2 | W:1.5m H:1.2m | Total: 71,500.00 DA
2026-07-31 16:05:24 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:05:44 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:05:53 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:22:00 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:22:17 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:22:44 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:22:53 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:23:21 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:24:31 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:24:34 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 16:25:07 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
